fact_finance_id,date_key,company_key,fin_type_key,metric_key,value
679,20180331,1,1,9,2809000000.0
680,20171231,1,1,9,2692000000.0
681,20170930,1,1,9,2883000000.0
682,20170630,1,1,9,2933000000.0
683,20170331,1,1,9,3137000000.0
684,20161231,1,1,9,3307000000.0
685,20160930,1,1,9,3367000000.0
686,20160630,1,1,9,3452000000.0
687,20160331,1,1,9,3657000000.0
688,20151231,1,1,9,3847000000.0
689,20150930,1,1,9,4023000000.0
690,20150630,1,1,9,4213000000.0
691,20150331,1,1,9,4380000000.0
692,20141231,1,1,9,4607000000.0
693,20140930,1,1,9,4744000000.0
694,20140630,1,1,9,5234000000.0
695,20140331,1,1,9,5317000000.0
696,20131231,1,1,9,6066000000.0
697,20130930,1,1,9,6290000000.0
698,20130630,1,1,9,6558000000.0
699,20130331,1,1,9,7324000000.0
700,20121231,1,1,9,7473000000.0
701,20120930,1,1,9,7754000000.0
702,20120630,1,1,9,7862000000.0
703,20120331,1,1,9,1541000000.0
704,20111231,1,1,9,1578000000.0
705,20110930,1,1,9,1474000000.0
706,20110630,1,1,9,1381000000.0
707,20110331,1,1,9,1016000000.0
708,20101231,1,1,9,1044000000.0
709,20100930,1,1,9,993000000.0
710,20100630,1,1,9,904000000.0
711,20100331,1,1,9,790000000.0
712,20091231,1,1,9,774938000.0
713,20090930,1,1,9,823248000.0
714,20090630,1,1,9,856386000.0
715,20090331,1,1,9,910344000.0
716,20081231,1,1,9,996690000.0
717,20080930,1,1,9,1047717000.0
718,20080630,1,1,9,1138991000.0
719,20080331,1,1,9,1203972000.0
720,20071231,1,1,9,446596000.0
721,20070930,1,1,9,485252000.0
722,20070630,1,1,9,339579000.0
723,20070331,1,1,9,326526000.0
724,20061231,1,1,9,346841000.0
725,20060930,1,1,9,177406000.0
726,20060630,1,1,9,146601000.0
727,20060331,1,1,9,160573000.0
728,20051231,1,1,9,277683000.0
729,20050930,1,1,9,228603000.0
730,20250930,1,1,10,1823000000.0
731,20250630,1,1,10,1823000000.0
732,20250331,1,1,10,1823000000.0
